date,category,day_n,day_tone,day_tone_sd
2022-12-31,competitors,79,-0.2279993033224944,2.8936987714182303
2022-12-31,hyperscalers,1360,-0.6918541513750931,2.9646750806281434
2022-12-31,macro,2498,-2.0716008413472644,2.692101582953036
2022-12-31,nvda,69,-1.308495882604837,3.089071200503612
2023-01-01,brokers,222,-0.8052054190509665,2.880401262889244
2023-01-01,competitors,70,1.6299739169736187,2.757039197400723
2023-01-01,hyperscalers,881,0.1010645008732229,2.9793052785290075
2023-01-01,macro,1350,-1.3270780728985416,2.524618636525163
2023-01-01,nvda,38,-0.3798637049449049,2.7930812481267333
2023-01-02,ai_companies,1,4.79102956167176,
2023-01-02,brokers,417,-0.7040985327037962,2.58255964550358
2023-01-02,competitors,224,0.2950831703623393,2.3977792655473564
2023-01-02,hyperscalers,1469,-0.2580124805996956,2.970198031564723
2023-01-02,macro,1763,-1.3325689735940844,2.3938357707100413
2023-01-02,nvda,94,-0.0802244696640683,2.6144133934604774
2023-01-03,ai_companies,1,1.69779286926995,
2023-01-03,brokers,835,-1.1949254627440122,2.92316897014257
2023-01-03,competitors,386,0.6957982747828072,1.842493422559478
2023-01-03,hyperscalers,1944,0.3170448937985001,3.0789682401351186
2023-01-03,macro,2476,-1.7070137419854376,2.49985410147835
2023-01-03,nvda,317,1.594852304490917,2.1893339451554743
2023-01-04,ai_companies,1,-0.834724540901502,
2023-01-04,brokers,809,-0.6801504521526954,2.5573907189427554
2023-01-04,competitors,266,0.7947991693904333,2.613716374277838
2023-01-04,hyperscalers,2607,0.1752342609758377,2.9457558141237965
2023-01-04,macro,3957,-1.4795764196404972,2.306677567993777
2023-01-04,nvda,391,1.6475341985792722,2.186361372767027
2023-01-05,ai_companies,1,3.4965034965035,
2023-01-05,brokers,700,-0.5970378745093237,2.407607837412562
2023-01-05,competitors,390,1.1965832163883796,2.4018382272231995
2023-01-05,hyperscalers,2888,0.2711090747978489,2.950270684705704
2023-01-05,macro,4406,-2.0415510175040974,2.2122466158886285
2023-01-05,nvda,305,1.5799519282252432,1.8216226924993373
2023-01-06,ai_companies,7,0.992810672905918,3.603476705196981
2023-01-06,brokers,704,-0.3630342674264338,2.354917352215209
2023-01-06,competitors,431,1.3403630377084808,2.5533037508187646
2023-01-06,hyperscalers,2534,0.3072923511796009,2.7228382665887523
2023-01-06,macro,5606,-2.21313583711953,2.243522149369169
2023-01-06,nvda,201,1.5465819333370252,1.763277098963573
2023-01-07,ai_companies,2,5.072293407890975,3.3774980658348275
2023-01-07,brokers,327,-0.4582426622143581,2.363182144979992
2023-01-07,competitors,206,0.5437714433440547,2.131284660200872
2023-01-07,hyperscalers,1185,-0.0651113847834239,2.72917202906269
2023-01-07,macro,3477,-2.711436413968426,2.412587690473991
2023-01-07,nvda,81,1.285900711578401,2.309916280460864
2023-01-08,ai_companies,1,6.52920962199313,
2023-01-08,brokers,233,-0.6171096455302477,2.4792472487870034
2023-01-08,competitors,115,1.1243548572767077,2.435468517608281
2023-01-08,hyperscalers,1319,-1.0343536128085222,3.4973901606531905
2023-01-08,macro,2066,-2.1876374273720773,2.3831605880586784
2023-01-08,nvda,71,1.2382392862105076,2.082952983493934
2023-01-09,brokers,1224,-0.5902953398726813,2.625540581454414
2023-01-09,competitors,331,0.8194790092040104,2.322586892662596
2023-01-09,hyperscalers,1791,0.2683369271363586,3.1333366667773737
2023-01-09,macro,4544,-1.7516234882726265,2.456966275103828
2023-01-09,nvda,155,0.878922986964544,2.095775140863598
2023-01-10,ai_companies,3,0.9094742594785508,0.6370584636601715
2023-01-10,brokers,1088,-0.4774863109398118,2.42341347825494
2023-01-10,competitors,413,0.574171814920714,2.1361953433087675
